trade_nm,cty_nm,st_cd,case_violtn_cnt,bw_atp_amt,findings_start_date
MSI Landscaping,Las Vegas,NV,14,10124.16,9/24/05
East Baton Rouge Parish School System,Baton Rouge,LA,147,219233.5,2/1/03
Nova Communications,Asheboro,NC,2,24951.88,3/1/04
Hartselle Park and Recreation Department,Hartselle,AL,0,0,2/6/06
Acme Market,Bordentown,NJ,3,0,6/1/07
Woody's Landscape & Masonary,Simi Valley,CA,0,0,9/8/06
Blue Comet Diner,Hazleton,PA,9,4380.28,1/31/04
Harley Davidson of Spartanburg,Spartanburg,SC,16,12954.6,12/7/03
Ardmore Enterprises, Inc,Bowie,MD,14,695.74,8/1/04
Miller Electric Company,Covington,VA,0,0,1/25/04
Benton-Thomas, Inc.,South Boston,VA,3,100.17,1/12/04
EMTA,Erie,PA,3,570,4/22/05
Heartland Living & Rehab.,Greensboro,NC,3,4528.98,11/30/13
Eli's Table,Charleston,SC,4,1033.8,10/1/11
McDowell County Dept. Social Services,Marion,NC,2,586.42,11/9/13
Marietta Aesthetic Center,Marietta,GA,15,3873.6,8/3/13
R & R Environmental Mechanical Services,Rowlett,TX,5,1900,10/24/13
Winesburg Builders,Millersburg,OH,5,0,6/1/15
Kinderhook Creek Farm, Inc.,Stephentown,NY,9,4011.1,5/21/14
Pomegranate Inn,Portland,ME,13,30547.91,9/15/13
Creston Nursing Rehab Ctr,Creston,IA,0,0,5/3/05
Happy's Pizza #11,Detroit,MI,1,0,11/14/13
L & L Mobile Clinics LLC,Winter Park,FL,4,169.68,8/19/13
Red Carpet Inn,Hillsville,VA,1,0,7/6/15
Randy Bush,Princeton,KY,0,0,7/5/13
Creekside Kids Academy,Park City,UT,1,0,11/21/13
Her-OBGYN,Irving,TX,0,0,1/1/15
Bullseye Cleaning Service, Inc.,Burr Ridge,IL,2,0,1/1/15
Noah's Ark Day Care,Ozark,AL,1,0,1/14/14
Buffins Trucking,Terrell,TX,0,0,6/21/03
Pearlite Fixture Group, Inc.,San Jose,CA,8,0,8/1/15
Lyme Stone Ranch Apartments,New Smyrna Beach,FL,6,376.67,8/17/13
Community Corrections Association, Inc.,Youngstown,OH,69,23235.06,6/7/13
SK Short Stop,East Peoria,IL,1,0,7/10/13
Back Forty Blueberry Nursery,Waynesboro,MS,7,0,5/1/14
APEX Automotive,West Palm Beach,FL,6,2913.89,6/28/13
Sonic,Wadesboro,NC,0,0,5/11/07
YRC Yellow Roadway Corporation,Cincinnati,OH,0,0,10/30/08
City of Rockford,Rockford,IL,0,0,7/8/15
Advanced Child Learning Center,Sterlington,LA,6,0,3/26/11
Di Mare Farms, AGER,Florida City,FL,1,0,11/15/09
Florian's Food Service, Inc.,Bohemia,NY,1,0,1/23/10
Mountain View Alternative Care, Inc.,Englewood,CO,7,19399.28,8/25/10
Cymez International Security,Hidalgo,TX,61,95151.43,9/25/10
Metropolitan Transportation Network, Inc.,Minneapolis,MN,33,15390.91,10/9/06
United Mortgage,Charlotte,NC,98,0,8/12/04
CLC of Akron,Akron,OH,1,0,3/15/12
MTC Transportation,Denver,CO,16,4066.33,9/9/10
Reliant Energy,Houston,TX,0,0,6/20/05
Healthcare Services Group at Westwood Center,Keene,NH,1,0,2/7/14
Central Avenue Bakery,Pawtucket,RI,4,12135.91,11/20/04
Gallagher Services,Lutherville Timonium,MD,0,0,11/1/02
Dragon Dynasty Oriental Mart,Daytona Beach,FL,0,0,3/22/04
Derrick Plumbing, Inc.,Leesville,SC,0,0,4/3/04
China Star Super Buffet,Wichita,KS,1,0,4/3/04
Nancy Fuller Childrens University, The,Madera,CA,5,601.01,3/29/04
Mr. Q's Enterprises.,Sierra Vista,AZ,174,186357.45,11/1/06
Quiznos,Great Falls,MT,1,42.53,3/16/04
Bay Area Roofing, Inc./Handyman, Inc,Clearwater,FL,1,0,12/10/04
Subway,Devils Lake,ND,4,0,12/8/04
Phoenix Assembly & Packaging,Kansas City,MO,1,0,7/12/04
Weaver Market,Adamstown,PA,1,0,7/1/04
CBC Co.,Carroll,OH,38,51294.18,1/1/10
Fabulous Freddy's (Trailwood),Las Vegas,NV,0,0,6/6/09
Jose Rodriquez,Parrish,FL,1,0,5/14/12
Israel Garza,Poplarville,MS,8,0,6/1/12
Sweetness Sweets,Memphis,TN,20,10270.37,7/31/10
Chuck's Well Service Inc,McAlester,OK,10,2818.19,10/6/06
Carehaven of Pleasants,Belmont,WV,25,6706.35,7/1/07
Lokahi Physician Services, LLC,Honolulu,HI,41,132312.06,6/8/11
Tarheel Specialties, Inc.,Linden,NC,83,53217.78,7/1/07
Advanced Information Systems,Kent,WA,130,154026.66,8/21/08
Saint Ann Nursing Home,Jersey City,NJ,1,150,11/10/06
AG Kitchen,New York,NY,24,15518.24,9/30/12
All Custom Builders,Lyndhurst,NJ,3,1920,11/15/06
La Michoacana Meat Market,Houston,TX,17,11176.81,2/17/13
Garfield's Restaurant and Pub,Uniontown,PA,0,0,2/6/05
Care Partners,Asheville,NC,2,6996.81,7/13/13
Coal Hill Country Store, LLC,Coal Hill,AR,2,0,10/21/13
Benson Volunteer Fire Department,Benson,AZ,3,0,10/27/12
Panhandle Electric,Pensacola,FL,2,1809.44,9/10/14
Stansell Electric Company, Inc.,Nashville,TN,1,0,10/22/14
Fine Fare,New York,NY,16,33732.28,9/16/01
Motel 6, #424 Merdian, MS,Meridian,MS,2,26.2,11/3/13
Flicks LLC,Woodville,MS,4,2946.88,10/7/13
Leisure Concepts International, Inc.,Lake Havasu City,AZ,1,256.5,9/12/11
Northwestern Home Furnishing,Grand Rapids,MI,1,462.63,8/2/03
Caruthers Raisin Packing,Caruthers,CA,1,0,9/2/12
The Black Water Grill,Salem,NH,12,982.48,8/25/10
Simon and Seaforts,Anchorage,AK,3,163.3,5/1/07
Mountain View Alternative Care, Inc.,Denver,CO,14,16925.37,8/25/10
Showen Stile,Colorado Springs,CO,4,9211.16,8/28/11
Pastime Pools,Las Vegas,NV,0,0,1/25/11
Clare Bridge of Highlands Ranch,Highlands Ranch,CO,2,0,9/21/10
Bear Mountain Orchards, Bear Mt. Camp,Aspers,PA,0,0,10/4/10
Diogi's Latin Grill & Cantina,Fayetteville,WV,6,390.44,11/7/10
Trinity House Group Homes,Oxnard,CA,12,3124.57,10/5/10
Lightning Van Lines, Inc.,San Leandro,CA,7,4934.03,4/20/10
Zion Church Builders,Kalamazoo,MI,10,0,9/7/09
EMIT Technologies,Sheridan,WY,21,45199.35,3/10/10
Castro Valley Unified School District,Castro Valley,CA,0,0,10/19/10
PCM,Moosic,PA,2,0,2/28/11
Mercado Estrella,Houston,TX,6,14281.67,2/13/11
The Schisler Funeral Home,Northampton,PA,1,0,12/20/10
Blue Ridge Landscaping,Fredericksburg,VA,0,0,1/13/11
Raytheon Technical Services,Carolina,PR,0,0,4/1/11
Bowles Community Care Home,Mc Clellanville,SC,1,0,3/4/11
Thirsty Fellow,Columbia,SC,35,43492.4,3/13/11
Countertops Factory,Addison,IL,0,0,2/27/11
Tahona Grille,Huntington,WV,4,0,7/11/11
McKee Construction,Nelsonville,OH,28,4380.61,11/9/09
MTO Maintenance,Tamuning,GU,98,0,5/7/10
Cleaning Service Experts, Inc.,Burlington,MA,9,15911.53,10/1/12
Montego Cafe & Social Club,Little Rock,AR,45,3676.04,12/2/12
Roadway Express,McKees Rocks,PA,0,0,9/16/07
Norris Wheel & Brake,Milledgeville,GA,3,10118.55,7/22/06
Integrity National Corporation,Frederick,MD,10,620.3,7/31/06
Bradford Home,South San Francisco,CA,2,0,3/14/11
Phillip's Home,South San Francisco,CA,2,0,3/14/11
A Better Life Together, Inc.,Spring Valley,CA,2,122.31,5/20/12
Kehrer Bros Construction Company, Inc,Albers,IL,0,0,6/1/12
Potlatch Corp,Saint Maries,ID,0,0,2/19/06
Medallion Industries, Inc,Portland,OR,81,3422.08,5/9/12
Dynegy Moss Landing, LLC,Moss Landing,CA,4,56868.34,9/15/12
Arthur Vincent Company,Nyack,NY,19,0,8/4/14
Key Systems, Inc.,White Marsh,MD,7,370.41,10/22/02
St. Anthony's Hospital,Houston,TX,0,0,8/29/12
Super Mex Mexican Restaurants,Fountain Valley,CA,3,4007.13,8/11/12
Super Mex Mexican Restaurants,Huntington Beach,CA,2,4754.27,8/11/12
Paramount Travel Center,Prescott,AR,1,0,8/14/12
Mountain Plains Agricultural Service Inc,Casper,WY,0,0,8/11/12
Juan Mendoza, FLC,Lovington,NM,1,0,5/1/14
State of California Dept. of Transportation,Los Angeles,CA,0,0,9/1/14
Flexsedans.com, LLC,Clearwater,FL,4,0,4/15/14
Hinkle Construction Inc.,Mesa,AZ,1,0,9/15/12
Orozco, Jose FLC,Edinburg,TX,0,0,1/31/08
Ford Construction,Grand Junction,CO,2,344,9/1/13
Allen and Associates,Maitland,FL,19,1264.71,6/28/02
Nortex Bakery and Fast Food - 2,Alice,TX,0,0,12/1/09
El Dorado Care Center,El Cajon,CA,0,0,3/9/10
L & M Air Conditioning Inc.,Van Nuys,CA,3,105.55,8/21/06
Central Tampa Assisted Living,Tampa,FL,0,0,10/21/12
Moe's Southwest Grill,Carbondale,IL,7,1341.06,5/7/12
Shiver Construction,Albuquerque,NM,0,0,4/10/12
LTD High End Furniture Handlers,Houston,TX,10,2837.31,9/3/12
Hazel Park Raceway,Hazel Park,MI,1,1476.88,11/27/12
La Bella Vida Adult Day Health Services, LLC,North Dartmouth,MA,4,771.5,10/6/12
Morris Electric, Inc,Springville,UT,11,20462.98,3/10/13
Superior View, LLC,Avondale,AZ,5,2643.14,10/1/13
Subway,Saint Louis,MO,7,117.41,10/15/12
TRYON MOVING AND STORAGE,Morehead City,NC,83,0,9/2/98
Patterson Oil,Lees Summit,MO,2,2177.55,8/21/06
Jim Shelton Construction,Bowling Green,KY,2,307.5,1/15/13
Taco Bell,Washington,DC,8,17127.57,11/5/12
Sakura Japan,Washington,DC,2,540,11/5/12
Great Steak & Potato Company,Washington,DC,1,0,11/5/12
Aiden's Pub,Newport,RI,14,3195.41,9/6/01
Maid Brigade,Phoenix,AZ,3,0,6/5/10
The Nova Flex Group,Haw River,NC,28,14823.47,7/13/04
El Patio Restaurant,Mission,TX,0,0,1/1/11
Autumn Years Care Center,Chandler,AZ,15,5154.67,7/6/09
Odis Brown A/C & Heating,Freeport,FL,11,4678.1,9/22/04
Southern State Recovery, Inc,Wilmer,AL,18,28178.52,10/1/05
Walker Electric Company,Pensacola,FL,0,0,9/18/04
Mad Greek 6,Salt Lake City,UT,9,5723,11/17/09
Gatechina.com,Fremont,CA,2,0,4/25/06
Performance Orthopedics,Franklin,MI,10,1505.8,7/10/04
Landers Electrical Co., Inc.,North Andover,MA,3,787.5,3/10/06
