trade_nm,cty_nm,st_cd,case_violtn_cnt,bw_atp_amt,findings_start_date
Pahua, Gonzalo - FLC,Salem,NM,4,0,11/4/06
Eyeworks,Albuquerque,NM,12,1499.45,4/9/06
Bank of America,Brockton,MA,2,6208.9,5/17/06
Brookside Assisted Living,Freehold,NJ,31,22360.72,4/8/06
Turbo Machining, Inc.,Houston,TX,7,0,3/30/06
Dyekman Trophies, Inc.,Fort Collins,CO,1,46.63,4/29/06
Swenson Partnership,Wessington Springs,SD,0,0,3/1/07
Newark Extended Care Facility Inc,Newark,NJ,0,0,6/27/06
Jiffy Lube,Colorado Springs,CO,3,129.85,8/5/06
Big O Tire Store / and Grease Monkey,Fort Collins,CO,3,6882.17,5/29/06
Stedman Sheet Metal, LLC,Redmond,OR,8,22313.79,5/1/06
Apple Dentists Plus,Houston,TX,6,6645.55,8/18/02
Business (District) Supply Center,Broomfield,CO,4,3416.06,5/12/06
Y.E.S. The ARC,Cottonwood,AZ,36,25457.12,8/1/03
Janssen Brothers Farm,Monroe,MI,0,0,4/1/08
Barker Woods Enrichment Center,Michigan City,IN,1,0,4/15/06
Claires Boutique,Tulsa,OK,0,0,2/2/08
Bankers Life and Casualty,Farmington,CT,1,1267.2,10/1/07
Kimes Cider Mill,Bendersville,PA,0,0,9/7/04
Drennen Forestry Services,Cullman,AL,0,0,3/4/06
Thai Kitchen,Austin,TX,5,4375.75,4/2/06
Community Connections Partnership,Minneapolis,MN,73,9557.94,4/1/07
GJP Automotive Inc.,Newburgh,NY,10,14348.73,7/3/05
Marian David M.D,Forest Hills,NY,0,0,3/2/08
La Mixteca,Maspeth,NY,0,0,1/7/08
Produce Market 2000,Brooklyn,NY,0,0,3/4/08
IL Vagabondo Restaurant Corp.,New York,NY,4,2113.86,5/21/06
Broadway Medical & Dental,New York,NY,0,0,2/13/08
McDonald's,Melbourne,FL,0,0,11/20/03
Villa de Cancun Apartments,Houston,TX,26,9827.31,8/12/12
Vasa Fitness (Provo),Provo,UT,17,6765.7,2/1/10
Acme Bar & Grill,New York,NY,0,0,2/25/08
Mycogen Seeds-Puerto Rico Corporation,Santa Isabel,PR,1,0,3/21/06
Gillette Dental Group P.C.,Gillette,WY,10,4940.64,4/23/06
Arwano, Inc.,Troy,MI,27,6934.7,8/3/06
Rail Crew Express,North Little Rock,AR,1,0,5/27/06
Jim's Restaurant,Bethany,OK,1,0,4/3/05
Davis Welding and Dock Service Inc.,Cookson,OK,7,2871.67,10/1/06
Ramirez, Guillermo FLC,Chamberino,NM,0,0,4/29/08
Bensi of Paramus,Paramus,NJ,5,259.02,10/30/05
Biosphere International, Inc.,Decatur,GA,2,1028,3/8/04
Rosebush Gardens Assisted Living,Burlington,IA,0,0,5/2/06
Lee & Ryan Environmental,Greenfield,IN,17,33890.24,7/1/09
Hussy Copper, LTD,Eminence,KY,0,0,6/1/06
Jamco Properties Inc.,Atlanta,GA,0,0,8/1/06
Comm Trans,McKees Rocks,PA,21,2306.63,6/24/06
Maine Diner,Wells,ME,3,0,10/12/03
UPS,Seattle,WA,2,0,7/12/14
Save-A-Lot,New Albany,IN,0,0,7/8/06
A Shepherd's Light,Englewood,CO,12,13160.59,6/2/06
Alcan Rolled Products,Ravenswood,WV,0,0,11/1/07
Logistical Customer Service, Inc.,Colorado Springs,CO,0,0,6/28/06
Arjay Telecom-Massapequa,Massapequa,NY,8,6920.28,11/26/05
Scott's Food Stores,Decatur,IN,0,0,7/8/06
The ARC of Prince George's County,Upper Marlboro,MD,81,41132.73,8/1/07
Save-A-Lot,Jeffersonville,IN,0,0,7/8/06
Kroger,Mooresville,IN,0,0,7/24/06
Save-A-Lot,North Vernon,IN,0,0,7/8/06
Fast Lane Foods,Windfall,IN,0,0,7/15/06
Isaac's Ale House,Greensburg,PA,3,794.68,11/1/07
Buehler Buy-Low,Evansville,IN,0,0,6/2/08
Safeway,Indianapolis,IN,1,1650,8/17/06
Subway,Memphis,TN,4,441.32,1/18/12
Mitchell's Supermarket,Guntown,MS,2,0,5/3/06
AJO AL'S Mexican Cafe,Glendale,AZ,0,0,4/11/05
Central Kentucky Processing,Lexington,KY,1,0,6/17/06
Alexander Human Development Center,Alexander,AR,38,4466.3,3/1/07
Arjay Telecom-South Shore,Bay Shore,NY,3,3478.36,11/26/05
AccuTrex Products, Inc.,Canonsburg,PA,1,545,5/27/06
HSS,Dublin,CA,0,0,11/6/07
Nathan Hale Inn and Conference Center,Storrs Mansfield,CT,2,98.94,3/25/08
Independence, LLC,Providence,RI,2,0,5/12/06
Nissan of East Providence,East Providence,RI,0,0,5/11/06
Comet Cleaners,Edmond,OK,1,137.07,8/21/06
Limited Too,New Hartford,NY,0,0,8/12/06
H & H Produce,Palmhurst,TX,0,0,6/3/11
Georgia Soil & Water Conservation Commission,Athens,GA,2,7218.7,7/17/06
Matthew's Hallmark,New Hartford,NY,0,0,8/12/06
American Eagle Outfitters,New Hartford,NY,0,0,8/5/06
Little Flower Nursing Home,East Islip,NY,0,0,8/12/06
Shady Cottage,Belleville,KS,4,7585.91,7/15/06
Taco Bell,New Hartford,NY,0,0,8/1/06
Genesis Security,Carolina,PR,2,1262.74,7/1/06
Williamson Dental,Salt Lake City,UT,5,1386.02,7/1/06
Burrus Seed Farms,Arenzville,IL,0,0,7/10/08
Topson Downs,Los Angeles,CA,1,0,5/24/06
Crawford's Nursery,Odenville,AL,1,0,8/3/06
Ralph Eubanks & Sons,Sale City,GA,0,0,7/9/06
Tim Reeves Farm,Phoenix,NY,3,0,5/4/08
La Petite Academy,Ormond Beach,FL,0,0,7/24/06
PRIMARY SCHOOL AND CHILD DEVELOPMENT CENTER,Orlando,FL,0,0,7/10/06
Peak Building Systems, Inc,Castle Rock,CO,0,0,7/29/06
Knight Protective Services,Lanham,MD,7,358.43,2/7/11
The Learning Tree,Winter Park,FL,0,0,7/9/06
Flora Supply LLC,Denver,CO,1,11007.88,6/11/06
Beijing Chinese Seafood Restaurant,Honolulu,HI,0,0,7/4/06
Subhlaxmi Grocers,Houston,TX,7,7410.14,1/17/13
Little River Produce LLC,Lake Park,GA,0,0,5/5/08
Advanced Aesthetic Dentistry P.A.,Hallandale Beach,FL,3,204.81,5/14/06
Red Clay Industries,Charlotte,NC,4,0,6/18/11
Amerimex Insurance,Denver,CO,3,2863.74,2/12/08
Mattress Discounters,Montclair,CA,0,0,8/14/07
Team Builders, Inc,Ridgeland,MS,5,11459.53,8/3/06
The Service Company,Bossier City,LA,0,0,2/9/11
Coca Cola,Cincinnati,OH,0,0,2/15/08
Englewood Asset Management Inc.,Miami,FL,0,0,4/30/07
The Links at Olson Mansion,Maple Valley,WA,6,1196.71,9/1/06
Capital District Ambulance,Albany,NY,6,20578.6,7/8/08
PSL, Inc.,Coraopolis,PA,0,0,7/14/06
Green Creek Winery,Columbus,NC,1,0,1/1/08
Hunan Restaurant,Laredo,TX,1,1568.88,5/8/06
National Programming Service,Indianapolis,IN,76,14512.35,12/17/04
King's Restaurant-Tamuning,Tamuning,GU,45,10817.96,11/15/04
Mercy Regional Emergency Health Services,Benton,IL,415,40487.76,9/7/04
Prime Cuts of Jackson,Jackson,MI,9,2422.26,5/4/11
Mid-Columbia Bus Company,Pendleton,OR,126,44041.75,5/31/05
TAC Worldwide Companies,Colorado Springs,CO,32,105032.45,2/18/06
All Faith Self Help Center,Phoenix,AZ,3,2108.74,2/28/05
Dawson's Orchard,Enon Valley,PA,1,0,10/24/04
Sunbelt Rentals,Glen Allen,VA,1,0,3/25/05
Alternative Healthcare Solutions,Lebanon,TN,58,0,1/7/06
Disco Fish Market & Restaurant,Miami,FL,44,87953.48,9/1/05
Ramada Inn Vallejo,Vallejo,CA,55,12683.48,1/1/05
Butch's Steakhouse & Lounge,Hershey,NE,9,1937.09,3/5/05
Subway - Magnolia,Magnolia,AR,2,622.02,1/31/05
Subway - Hamburg,Hamburg,AR,4,2075.75,12/26/04
Adams Security Consultants, Inc.,San Francisco,CA,99,40389.27,2/1/05
Tip Top Tavern,Indianapolis,IN,5,3950.76,1/1/06
Subway,Savannah,GA,20,3245.7,4/28/06
Cambridge Resource Group,Westborough,MA,79,46095.94,8/1/05
Advanced Wood Technologies,Monroe,LA,17,16750.46,7/1/05
Lucky Sewing Company,Los Angeles,CA,22,7905.39,10/1/06
Valley Directional Drilling,Shade Gap,PA,1,0,6/8/13
Alonso's Steakhouse,New York,NY,21,0,2/5/05
Atlanta Bread,Florence,SC,40,10014.83,1/22/07
La Cubanita Cafe,Brandon,FL,2,2100,5/27/06
ABC Child Development Center,Federalsburg,MD,6,3626.58,8/8/05
ARC Enterprises,Congers,NY,26,3348.26,1/1/06
Burger King Corporation,Miami,FL,0,0,12/6/03
Amazing Ray's Dept. Store,West New York,NJ,13,5155.2,2/26/05
SCM Puerto Rico,Los Angeles,CA,150,84210.42,1/1/07
Prestige Wireless,Monroe,LA,3,0,12/16/06
Dollar Expo,Bronx,NY,17,0,9/30/06
Shop-Rite Morris Plains,Morris Plains,NJ,0,0,5/1/03
Allsafe Technologies, Inc.,Amherst,NY,31,8933.79,2/22/03
St. Mary's Rehabilitation Center for Children,Ossining,NY,43,7774.81,10/1/06
SuMik Transfer,Saint Paul,MN,489,46847.15,7/1/99
Hospitality On Call,Austin,TX,3,945.14,6/2/06
Alejandro Cervantes Contractor,Mecca,CA,0,0,2/1/08
Carestaf,Austin,TX,1,5108.97,11/25/06
Cabrini Medical Center,New York,NY,74,29074,2/17/08
Farmington Road Shell,Rochester,NH,16,1877.99,12/2/05
Fuel Pizza,Charlotte,NC,6,3427.83,3/19/06
Greensburg Care Center,Greensburg,PA,2,1142.29,10/22/05
Burlington Trailways,West Burlington,IA,0,0,7/19/06
Fuel Pizza,Charlotte,NC,4,8849.25,3/19/06
Airport BP,Newport News,VA,6,6126.65,3/9/06
Paragon Systems Inc.,Chantilly,VA,0,0,3/15/08
Central School Dist. No.7, Town of Greenburgh,Hartsdale,NY,19,63063.8,8/16/12
Dragon Star Oriental Foods, Inc.,Saint Paul,MN,7,29625.71,8/23/10
Dairy Queen R & S,New Braunfels,TX,47,22166.6,3/1/06
Issaquena Sheriff Department,Mayersville,MS,11,34736.85,4/22/06
ACM Mechanical Services, Inc.,Williamsville,NY,0,0,3/26/06
Warrens Landscaping,Milford,OH,0,0,5/11/06
The Brickman Group LTD.LLC,Loveland,OH,0,0,4/24/06
Richter Landscaping, Inc.,Monroe,OH,7,209.42,4/16/06
Papa Liugi's,Saint Marys,GA,6,0,3/5/03
B & M Landscape & Construction,Oxford,OH,0,0,5/20/06
Joe's Landscaping,Fairborn,OH,1,0,4/15/06
Centerville Landscaping,Dayton,OH,1,0,4/15/06
Metro Towing,Alexander,AR,2,0,4/27/06
American Business Corp,Omaha,NE,3,5269.21,10/1/07
Carefree Living,Bull Shoals,AR,1,990,4/6/06
Omni Home Health Agency,Oklahoma City,OK,0,0,12/1/07
Backstage, Inc.,Los Angeles,CA,1,0,11/5/05
UAMS Centers for Children/Schmeiding Developm,Lowell,AR,10,726.03,5/11/06
Veltri Trucking, Inc.,Washington,PA,47,12984.25,6/22/07
Windsor Lawncare Services,Ashland,OH,0,0,4/9/06
Hogar Institucion Zoh,Bayamon,PR,3,691.2,5/1/06
High Peak Farm, LLC,Nicholasville,KY,0,0,3/15/06
Regent Park Golf Club,Fort Mill,SC,16,3204.05,2/9/07
Dr. Joel Pearlman, DMD,Foxboro,MA,4,886.88,4/18/06
Krebs  Motors North, Inc.,Gibsonia,PA,2,1313.37,4/15/08
Jani-King of Melbourne,Melbourne,FL,0,0,10/9/08
Tokyo Japanese Steakhouse,Pensacola,FL,28,31941.57,1/22/13
Girls Scouts of the USA,New York,NY,0,0,5/16/04
Interstate Concrete & Aspahlt Inc,Coeur d Alene,ID,94,10615.5,6/10/06
Pero Family Farms,Delray Beach,FL,1,0,10/15/07
Arizona Training Program Coolidge,Coolidge,AZ,13,3387.8,9/1/07
Flower Memorial Hospital,Sylvania,OH,1,0,6/12/06
Hanover Hall,Hanover,PA,3,0,6/19/07
Kubecka Farms,Kirkville,NY,0,0,4/11/06
AM 2 PM Childcare,Hazlet,NJ,0,0,6/1/06
Regency Trucking,North Ogden,UT,13,13963.06,5/7/06
Victim Services,Johnstown,PA,12,3095.18,6/30/06
Burlington Coat Factory,Greensboro,NC,0,0,7/24/06
The Meadows of Huntingdon,Altoona,PA,1,0,11/26/06
McNutt Auto Transport Service,Lowry City,MO,16,4910.25,9/22/02
It's A Kidz World,Bellevue,NE,4,118.6,12/1/07
Custom Tree Care,La Place,LA,3,272.67,6/3/07
Evergreen Tree Company,La Place,LA,3,292.74,6/16/07
Harold J Orr,La Place,LA,2,54.31,4/15/07
Felix Villafae,Yabucoa,PR,0,0,5/11/06
NCLN20, Inc.,Concord,CA,34,27899.11,3/28/08
J & W Tree Service,New Orleans,LA,12,428.94,5/11/07
NCLN20, Inc.,Concord,CA,40,13952.72,3/9/08
J Squared Enterprises,La Place,LA,2,150.15,6/10/07
Five Star Manufacturing,New Bedford,MA,0,0,5/6/06
Extreme Staffing,Pocatello,ID,44,45790.91,8/25/13
W.R. Johnson & Sons,Columbus,NM,4,0,4/29/08
Vocational Development Center,La Vista,NE,0,0,5/23/06
Brenner, Norman Farms,North Collins,NY,0,0,1/5/08
Select Tree Farms Inc.,West Valley,NY,23,0,2/4/08
Intergrow Greenhouses, Inc.,Albion,NY,29,0,8/1/07
MD Marine Electric,Tacoma,WA,0,0,5/1/08
Tachick Builders,La Place,LA,6,223.08,5/19/07
Light House Spirits, LLC,Ocean Springs,MS,2,0,5/7/06
Brinton Lumber,La Place,LA,1,60,4/29/07
Cedardale Health Care Center, Inc.,Wray,CO,0,0,7/18/06
Jarvis Christian College,Hawkins,TX,3,11906.51,8/16/06
Capital District Psychiatric Center,Albany,NY,1,661.05,12/20/07
Standing Pine Nursery,Raymond,MS,0,0,1/10/08
Williams-Sonoma, Inc.,San Francisco,CA,0,0,10/27/05
Envirocare Construction,Port Orange,FL,1,0,8/1/06
Purpose One Electric,Tampa,FL,75,36600.48,6/22/08
Gateway Community Industries, Inc.,Kingston,NY,1,77.14,8/2/06
J Fearon Drywall,Hampden,ME,0,0,8/17/06
James W I & Sons Grocery,Maple Hill,NC,0,0,9/3/06
Sharpless Grocery,Maple Hill,NC,0,0,7/23/06
Cakes By Darcy,Roswell,GA,4,144.58,5/5/08
Silvestre Ruiz,Rogers,OH,0,0,7/30/07
Love's Travelstop,Iowa,LA,0,0,2/11/03
99 Cent Only Store,Los Angeles,CA,0,0,8/12/06
Shadybrook Farms, AGER,Dover,DE,2,0,7/12/08
World Resource Recovery Systems, Inc.,Erie,PA,1,0,8/19/06
Piggly Wiggly,Riegelwood,NC,1,0,7/22/06
James Grimes - Fort Pond Native Plants,Montauk,NY,0,0,7/19/06
Griffey's Uniforms,North Little Rock,AR,5,2975.82,8/23/06
El Tiempo Market,Houston,TX,3,6631.31,12/1/06
America's Best Value Inn,Amarillo,TX,3,819.05,6/3/08
Custom Granite Manufacturing,Virginia Beach,VA,1,0,8/3/06
Dress Wiz Inc,New York,NY,0,0,7/30/06
Juan Diego Jimenez,Lake Park,GA,0,0,3/13/08
Calloway Brothers Farm,Mardela Springs,MD,2,0,4/30/08
Palmer & Son Excavating,Wooster,OH,0,0,7/23/06
El Tiempo Cantina,Houston,TX,6,14182.84,7/26/06
Subway,Springville,NY,2,52.35,9/16/06
White Mountain Auto Broker,Whitefield,NH,4,1134.2,8/12/06
Advance Pleating & Button Co.,San Francisco,CA,0,0,7/23/06
Kirin Cutting Service Inc.,San Francisco,CA,0,0,7/23/06
Menchie's Hawaii LLC,Honolulu,HI,9,0,10/25/08
City of SF's Communities of Opportunity's,San Francisco,CA,7,2340,6/23/08
Precision Landscaping,Lexington,SC,0,0,7/25/06
Denver Public Schools--Whiteman School,Denver,CO,1,750,8/24/07
Aeropostale,Colorado Springs,CO,16,14596.61,6/4/05
All American Construction & Plumbing,Toledo,OH,7,6148.75,5/6/05
The Edge Research & Development,El Paso,TX,154,80615.12,5/29/06
California Watercress,Fillmore,CA,104,1635.02,3/29/05
Sprint,Bristol,VA,1014,259429.3,7/1/05
Steve's Discount Liquors,Wilmington,DE,14,9817.61,6/10/06
Royal Refrigeration & Air Conditioner,North Miami Beach,FL,5,2502,1/1/06
Bethea Power Products,Pelham,AL,17,6806.35,1/2/06
Clearwater's, Inc.,Meridian,ID,3,4123.65,6/1/05
Pittsburgh Fashion,South El Monte,CA,11,10069.22,7/17/05
Subway,Charleston,TN,3,771.9,6/3/14
ABC Shursave,Montrose,PA,6,0,4/29/05
Verizon Federal Network Systems FNS,North Las Vegas,NV,28,57538.18,7/1/05
Akima Facilities Management, LLC,Kekaha,HI,19,18636.78,1/1/06
Nixsol,Edison,NJ,3,0,4/7/05
William Thomas Academy,Sumter,SC,2,1420,9/2/05
C.O.C.,Los Angeles,CA,1,0,2/18/06
St. Vincent Health System,Little Rock,AR,33,34053.08,8/13/05
Wynne Police Department,Wynne,AR,23,69366.06,10/1/04
Dustin Stratton,Rutledge,TN,1,0,8/14/06
McCord Gin Co,Gideon,MO,0,0,4/23/05
Chemilogical Weed Management, Inc.,Salmon,ID,21,10474.34,6/25/05
Forest Hills Physical Therapy,Forest Hills,NY,23,31267.96,11/2/05
Iron Ax, Inc.,Wadley,GA,1,0,5/9/04
Dental Depot South OKC,Oklahoma City,OK,21,8644.9,9/2/06
K P I,Rego Park,NY,9,4738.19,3/9/05
301 Truck Stop,Tampa,FL,22,15189.79,2/1/06
Paul Getchell Electric,Umatilla,FL,11,6556.51,6/9/05
Aramark Uniform Services,Reading,PA,0,0,4/1/03
Marathon,Milwaukee,WI,5,10375.73,11/19/02
Greenbelt Protection Service,Shreveport,LA,127,67908.04,1/20/07
Magnolia Pool Supply, Inc.,Riverside,CA,4,56859.26,2/15/03
Discount Medical / Diasol,North Hollywood,CA,25,0,7/6/05
Perkins Family Restaurant -Dept 300 Newburgh,Newburgh,NY,5,3991.08,6/30/06
Tally's Tavern at Bennington Station,Shaftsbury,VT,14,1022.01,12/28/06
Wolfchase Cinema,Memphis,TN,6,0,3/23/06
County Line Auto Parts,Hardware & Grocery,Inc,Whigham,GA,2,1024.8,4/26/06
Huddle House,Clintwood,VA,38,6556.68,4/1/06
McDonalds,Midvale,UT,0,0,3/15/06
City of Cary,Cary,MS,4,1418.31,5/15/06
Thibco Inc.,Manchester,NH,4,12919.49,6/3/06
Jamerson Farms,Lehigh Acres,FL,0,0,2/26/08
Super 8 Motel - North Point/Cherry Grove,North Myrtle Beach,SC,8,1702.39,3/19/06
Harris Diesel, Inc,Dawson,GA,1,175,4/22/06
International Nails,Bellevue,WA,2,0,5/10/06
Miller County Hospital and Nursing Home,Colquitt,GA,2,3482.71,4/3/06
Livingston Feed & Seed,Howell,MI,2,291.4,4/1/06
Dahl's Food Marts,Des Moines,IA,0,0,5/9/06
Parkland Health Center,Farmington,MO,1,0,11/6/07
Lucky Puppy Boutique and Barkery,Champaign,IL,5,1575,5/1/07
Great Wall Restaurant,Lansing,MI,0,0,1/1/07
Branford Hall Career Institute,Springfield,MA,2,730.08,4/1/06
Gypsum Supply Inc.,Lansing,MI,11,10366.39,4/9/06
Bonkers Funhouse,Peabody,MA,2,8096.46,4/9/06
HW Concrete,Ontonagon,MI,0,0,4/12/08
Shingle Creek Golf Club,Orlando,FL,4,4197.6,5/29/06
Stewart Solutions Inc.,Gilbert,AZ,2,6500,3/25/06
Mancini Tire & Auto,Spring Hill,FL,0,0,3/18/06
Pablo Garcia Santiago,Live Oak,FL,1,0,7/1/07
Ayala's Medical Services,Carolina,PR,26,16452.12,7/14/06
Jackson County Health Department,Jackson,OH,19,3030.37,11/5/04
Ferreteria Centro Puertas y Ventanas,Jayuya,PR,3,4836.26,4/22/06
Ben & Jerry's,Salt Lake City,UT,2,0,6/16/06
Mattern Wholesale Florist,Orlando,FL,0,0,5/14/06
Texas Southern University,Houston,TX,1,0,10/30/07
Epoxy Technologies System Corp.,Caguas,PR,1,0,9/10/06
A Step Ahead Childcare and Learning Center,Austin,TX,0,0,4/2/06
Janette Manufacture & Wholesale,Los Angeles,CA,1,0,1/30/06
Pro Tan Nails & Spa,Lawrenceburg,TN,2,80.75,4/1/07
Gala,Los Angeles,CA,1,0,2/1/06
La Belle Fashion, Inc.,Los Angeles,CA,1,0,2/1/06
Evergreen Tree,La Place,LA,10,301.12,5/27/07
Whitco,La Place,LA,4,191,6/3/07
PREM Ambulance Service,Anasco,PR,1,0,6/5/06
Municipio de Luquillo,Luquillo,PR,2,0,6/27/14
Shearon Environmental,Plymouth Meeting,PA,128,23197.74,3/21/10
St. Joseph's Hospital,Paterson,NJ,0,0,4/20/05
Hogar Casita de Amor,Ponce,PR,1,0,5/6/06
Defoggi Development Construction Co.,Richmond,VA,3,0,9/6/06
Sorabol,Honolulu,HI,1,83.41,3/1/07
Waffle House,New Albany,IN,3,24.38,5/9/06
Little Treasures Day Care,Harlingen,TX,0,0,5/8/06
Advanced Welding & Fabrication,Dutzow,MO,7,2993.63,3/1/07
Bush Sod Farm,Louisville,KY,0,0,5/21/06
Sidney Riverbend,Sidney,ME,7,200.93,12/22/03
Kelly Jr. No. 5,Quincy,FL,1,256,1/17/08
East Coast Lot & Pavement Maintenance,Pawtucket,RI,0,0,7/30/06
Ozark Atlantic,  LLC,Lake Mary,FL,34,20094.7,11/17/07
R and D Personnel,McAllen,TX,1,0,4/1/06
Max Rave,North Little Rock,AR,0,0,5/27/06
Romancing the Stone,North Little Rock,AR,1,0,5/27/06
Kids Foot Locker,North Little Rock,AR,2,0,5/27/06
Just in Time Staffing,Killeen,TX,70,26363.59,9/1/14
GNC,North Little Rock,AR,1,0,5/20/06
Burks Tree Service,Hanceville,AL,0,0,5/21/06
StaticWorx,Watertown,MA,1,778.6,1/1/07
Convenience Express,Greensboro,NC,1,771.14,2/22/08
Gary Stolba Trucking Inc.,La Place,LA,2,2004.78,10/9/05
Clean Harbors,Aragonite,UT,6,37685.63,11/1/02
JA  Machine,Closter,NJ,1,0,4/13/08
Subway Sandwiches Store #36130,Arcadia,CA,9,2221.96,5/9/06
Ay Caramba Restaurant II,El Paso,TX,3,486.88,4/24/06
Crescent River,Metairie,LA,2,319.77,6/20/07
Wee Care Day Care,Middleburg,FL,6,2998.86,5/21/06
Popeye's Chicken,Shawnee,OK,1,159.38,4/2/08
Sun Jin Heavy Equipment Rental,Tamuning,GU,1,0,1/1/07
GMZ Construction Company,Barrigada,GU,1,0,1/1/07
Diaz Farms, Inc,Deming,NM,2,0,5/8/08
Argus Event Staffing,Centennial,CO,2,368.62,8/12/06
Fry's Plastic Tubing,Pennsdale,PA,3,3250.3,10/6/07
Wakeeney Econo Lodge,WaKeeney,KS,2,6079.2,7/29/06
Mc Donald's,Houston,TX,7,0,6/17/06
Midway Muffler,Tacoma,WA,0,0,6/30/08
Insulation Enterprises,Tampa,FL,146,107318.25,3/1/03
Gertrude Hawk Chocolates,New Hartford,NY,0,0,7/28/06
Timber & Stone,Ballston Spa,NY,2,325.87,7/1/08
Kirkland's,Little Rock,AR,0,0,8/5/06
GC Labels, Incorporated,Stilwell,KS,1,2149.2,8/10/09
Varn Citrus,Fort Pierce,FL,54,8366.84,10/9/10
Romancing The Stone,Little Rock,AR,1,0,8/11/06
Horizon Science Academy,Cleveland,OH,1,187.2,3/16/08
Emerald Hilton Davis,Cincinnati,OH,1,0,7/8/08
Days Inn and Suites,Groton,CT,0,0,9/1/06
Halcon Construction Inc.,Longmont,CO,0,0,8/22/06
Russell E. Abke,Pemberville,OH,0,0,8/1/07
Triple S Smith Farms, Inc.,Windfall,IN,0,0,4/1/08
Ray Brothers Farms,Hobbs,IN,0,0,4/1/08
Mid-Valley Gravel Company,Philomath,OR,4,0,1/1/08
Hayashi Hibachi Japanese Steakhouse & Sushi B,Amarillo,TX,1,0,10/13/09
Gray and Sons Construction,Cincinnati,OH,0,0,3/1/08
Wegmans Food Market Inc,Mount Laurel,NJ,0,0,8/7/06
Frenchtown Market-IGA,Frenchtown,NJ,0,0,8/20/06
Debbie Gomez Home Daycare,Albuquerque,NM,0,0,8/13/06
Gonzalez Auto Parts,Roma,TX,2,849.99,9/1/02
Splash,Ocean Isle Beach,NC,11,7229.48,9/1/02
The Cupboard,Kingsport,TN,7,260.98,4/29/03
Marshalls Store # 440,Flemington,NJ,0,0,8/15/06
Burlington Coat Factory,North Bergen,NJ,0,0,10/1/10
99 cents supermarket inc.,Saipan,MP,50,4057.18,4/30/04
Select Inn,Minot,ND,5,248.14,8/12/06
Mt. Sinai Hospital,New York,NY,1,91.97,7/21/08
Timberline Forest Service,Homerville,GA,0,0,10/1/07
Food Crafters,Miami,FL,0,0,6/4/08
Fort's Grocery - Jubilee Foods,Gowanda,NY,1,571.53,9/1/07
Pediatric and Adolescent Medicine,Holbrook,NY,1,0,8/2/06
J.D. Byrider,Belleville,IL,2,352.97,1/1/08
FLC Gregory Lucas,Lady Lake,FL,5,0,6/1/11
Hubbard College of Administration Intl.,Los Angeles,CA,8,43660.79,3/1/05
Alco Delivery Services,Dallas,TX,5,0,4/16/07
El Tapatio,Wilson,NC,21,0,11/5/06
Bellefontaine Habilitation Center,Saint Louis,MO,673,392124.78,7/18/05
Lackawanna County Prison,Scranton,PA,1,0,5/22/15
White's Fresh Foods,Johnson City,TN,2,0,5/25/05
Marco Polo Restaurant,Austin,TX,6,0,6/2/05
Archway Marketing Services Inc.,Rogers,MN,87,26502.02,12/1/05
John's Towing Service,Evansville,IN,29,19937.59,5/30/05
The Facility Group,Phoenix,AZ,88,23396.73,3/8/06
Pizza Ria Financial,Chicago,IL,41,32513.76,8/1/05
Keller Williams Realty Prof. Partners,Glendale,AZ,3,3290.54,4/23/06
Dental Depot North OKC,Oklahoma City,OK,56,48618.77,5/14/05
United Right of Way,Phoenix,AZ,152,36404.87,2/27/06
M & J Excavating,Phoenix,AZ,37,159357.46,5/14/06
BP Express Shop,Roanoke,VA,7,2038.75,8/19/05
Haymarket Cleaners,Charlottesville,VA,3,6728.13,6/8/06
Ree's Contract Service, Incorporated,Overland Park,KS,529,35854.78,5/1/06
Stryden Staffing Services,Irving,TX,2,1373.18,5/27/05
CLS Landscape Management, Inc.,Chino,CA,4,1550.58,11/14/05
El Rodeo #8 Mexican Restaurant,Benton Harbor,MI,40,10579.46,10/30/05
Floyd Copfer Painting,Statesville,NC,8,0,6/2/06
Taco Ole,Edinburg,TX,10,19621.05,8/9/05
MTP 33 STREET,New York,NY,3,6870.55,4/23/05
Coffee Beanery, The,Barrigada,GU,0,0,7/14/06
Imax Service Corporation,Los Angeles,CA,26,29667.2,10/1/06
Owen Lumber Company,Excelsior Springs,MO,10,0,6/6/05
SID Computer Group,Jersey City,NJ,39,69103.78,10/21/05
LTM INTERNATIONAL,Fort Lauderdale,FL,36,25012.5,12/5/05
Keystone Automotive,Nashville,TN,40,4394.8,1/1/07
Gonzales, Leo,Caruthers,CA,26,906,4/29/07
Green Valley Harvesting, Inc.,Madera,CA,27,1350,5/14/07
Peterson Companies,New Orleans,LA,25,2984.27,5/13/06
DMBM,Los Angeles,CA,1,0,2/1/06
Quincy Housing Authority,Quincy,MA,8,4983.08,5/7/06
Threadgill's,Austin,TX,230,8075.73,4/2/06
SunTerra,Newport Beach,CA,0,0,1/25/06
Cascade Contracting,Martinez,CA,0,0,4/22/06
Canteen Vending,Tulsa,OK,2,2316.95,5/2/06
Hawaiian Sunshine Nursery, Inc.,Waimanalo,HI,4,46.99,3/19/06
Timberland Motel Inn,Roxboro,NC,1,891,4/12/06
H & J Follender Electric Co,Valley Stream,NY,0,0,5/13/06
North Shore LIJ- Core Laboratory,New Hyde Park,NY,0,0,3/30/06
